                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.2883,                0.95377,                 1.2018,                0.83309,                 0.7452,                0.83394,                0.52333,                 1.2911,                0.94438,                 1.3415,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.2973,                0.99296,                 1.2004,                0.77052,                0.76763,                0.82837,                0.51774,                 1.3023,                0.95211,                 1.3615,               0.006535,               0.006535,               0.006535
                     72,                 1.2725,                0.98047,                 1.1907,                0.79821,                0.72006,                0.82617,                0.52045,                 1.2898,                0.98663,                 1.3258,              0.0064855,              0.0064855,              0.0064855
                     73,                  1.252,                0.94324,                 1.1954,                0.81531,                 0.7776,                 0.8563,                0.52406,                 1.3148,                 0.9877,                 1.3498,               0.006436,               0.006436,               0.006436
                     74,                 1.2777,                0.93391,                 1.1635,                0.82458,                0.74339,                0.82833,                0.52009,                 1.2975,                0.96118,                 1.3582,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.2418,                0.93151,                 1.1686,                0.76303,                 0.7161,                0.79292,                0.48476,                 1.3282,                 1.0353,                  1.372,               0.006337,               0.006337,               0.006337
                     76,                 1.2372,                0.90728,                 1.1649,                0.78196,                0.76409,                0.83313,                0.51835,                  1.305,                0.95479,                 1.3487,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2572,                0.92509,                 1.1708,                0.82785,                 0.7605,                0.84498,                0.51295,                  1.336,                0.98303,                 1.3905,               0.006238,               0.006238,               0.006238
                     78,                 1.2646,                0.91988,                  1.199,                0.81724,                0.73718,                0.81878,                0.50247,                 1.3573,                0.97005,                 1.3547,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2858,                0.95287,                 1.2058,                0.81437,                0.74806,                0.82427,                0.50939,                 1.2914,                 1.1055,                 1.3487,               0.006139,               0.006139,               0.006139
                     80,                 1.2661,                 0.9219,                   1.19,                0.73779,                0.72939,                0.78545,                  0.498,                 1.2537,                  1.029,                 1.3104,              0.0060895,              0.0060895,              0.0060895
                     81,                  1.221,                0.90645,                 1.1692,                0.74312,                0.69735,                0.77226,                0.47547,                 1.3231,                 1.0847,                 1.3461,                0.00604,                0.00604,                0.00604
                     82,                 1.2545,                0.91638,                 1.1763,                0.83985,                0.75428,                0.81449,                 0.5119,                 1.2729,                 1.1708,                 1.3405,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2918,                0.89881,                 1.1876,                0.83006,                 0.7748,                0.84817,                0.53076,                 1.2719,                 0.9072,                 1.3289,               0.005941,               0.005941,               0.005941
                     84,                 1.2167,                0.89341,                 1.1853,                0.82367,                0.78227,                0.85366,                 0.5357,                 1.2647,                0.91842,                 1.3087,              0.0058915,              0.0058915,              0.0058915
                     85,                  1.182,                0.87196,                 1.1471,                0.82895,                0.75369,                0.82977,                0.51378,                  1.288,                0.99187,                 1.3455,               0.005842,               0.005842,               0.005842
                     86,                 1.2284,                0.90166,                 1.1632,                0.80913,                0.72939,                0.80914,                0.49691,                 1.3341,                 1.0516,                 1.3625,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2419,                0.88948,                 1.1703,                0.81587,                0.79247,                0.86421,                0.55116,                 1.2947,                0.88282,                 1.3403,               0.005743,               0.005743,               0.005743
                     88,                 1.2234,                 0.8915,                 1.1587,                0.84097,                0.76672,                0.84747,                0.53468,                 1.2833,                0.91673,                 1.3477,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2089,                0.91054,                 1.1827,                0.77157,                0.75117,                 0.8082,                0.51547,                 1.2881,                 1.0413,                 1.3633,               0.005644,               0.005644,               0.005644
                     90,                 1.2239,                0.89693,                 1.1711,                0.80549,                 0.7776,                 0.8433,                0.51872,                 1.3101,                0.91067,                 1.3446,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2455,                0.89909,                 1.1601,                0.84774,                0.74465,                0.83411,                0.52613,                 1.2758,                 0.9489,                 1.3116,               0.005545,               0.005545,               0.005545
                     92,                 1.2135,                0.88541,                 1.1571,                0.80625,                0.78383,                0.85285,                0.54215,                 1.2502,                0.89034,                 1.3088,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2029,                0.86869,                 1.1625,                0.85335,                0.76361,                0.84746,                0.53734,                 1.2492,                0.88389,                  1.315,               0.005446,               0.005446,               0.005446
                     94,                 1.2096,                0.86163,                 1.1538,                0.84615,                0.74412,                0.82867,                0.51249,                  1.286,                 1.0336,                 1.3422,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2086,                0.87996,                 1.1623,                0.82773,                0.78849,                0.84866,                0.53154,                 1.2615,                0.92725,                 1.3084,               0.005347,               0.005347,               0.005347
                     96,                 1.2218,                0.87109,                 1.1611,                0.83612,                0.77763,                0.85725,                0.55424,                 1.2265,                0.82798,                 1.2823,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2113,                 0.8461,                 1.1512,                0.84204,                0.80417,                0.86648,                0.54737,                 1.2495,                0.85908,                 1.3095,               0.005248,               0.005248,               0.005248
                     98,                 1.2146,                 0.8688,                 1.1802,                0.82838,                0.77916,                0.85581,                0.55451,                 1.2224,                0.83895,                 1.2896,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.2194,                 0.8426,                 1.1557,                0.83851,                0.74806,                0.83394,                0.52752,                 1.2579,                0.88244,                 1.3166,               0.005149,               0.005149,               0.005149
                    100,                 1.2275,                0.85304,                 1.1545,                0.84345,                0.79005,                0.85698,                0.55241,                 1.2397,                0.84855,                 1.3015,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.1864,                0.82549,                 1.1429,                0.83592,                0.80815,                0.87615,                0.55004,                 1.3034,                0.88983,                 1.3365,                0.00505,                0.00505,                0.00505
